AMD,CSCO,QCOM
109.34,55.76,152.82
119.22,56.05,152.73
123.23,55.67,161.07
120.24,55.14,158.45
119.67,54.97,157.97
120.53,54.5,158.46
113.92,54.48,152.87
114.78,56.17,157.61
115.92,56,155.59
113.46,55.97,153.99
111.69,56.17,152.83
115.37,55.81,150.45
109.33,55.6,144.21
102.25,54.3,141.29
104.29,54.69,152.34
106.46,54.71,154.71
111.05,55.92,157.11
105.53,54.4,150.76
102.95,55.59,150.1
108.41,56.51,162.26
111.98,56.07,165.35
118.28,56.15,169.25
113.83,54.62,163.69
123.34,55.77,171.99
121.06,56.04,170.93
116.61,54.73,167.98
109.76,54.44,161.62
115.65,56.3,165.89
113.83,57.21,167.64
112.37,55.77,166.8
117.69,54.25,172.6
121.47,54.27,173
114.27,53.18,165.13
113.18,53.9,164.64
125.77,54.87,174.07
132.85,56.29,183.95
128.23,55.34,178.59
123.67,55.17,175.09
123.6,55.15,179.47
120.08,55.2,179.1
122.76,56.17,188.2
116.78,55.37,177.13
114.25,55.67,175.76
105.24,55.61,166.81
102.6,54.62,161.2
110.71,55.33,167
111.13,56.11,165.45
116.53,56.9,170.07
118.81,56.68,164.93
121.89,58.08,166.5
128.27,58.9,172.47
131.93,59.73,178.86
136.88,61.36,188.69
132.74,61.5,183.89
137.47,62.12,186.42
137.31,62.37,185.4
132,61.82,179.68
132,61.13,180.41
136.23,60.92,185.95
136.15,60.28,186.5
144.42,61.25,187.23
150.24,63.16,186.21
143.9,63.37,182.87
145.15,63.62,182.73
148.26,63.96,186.2
153.15,63.53,184.82
154.36,63.42,186.33
146.14,62.28,182.74
143.88,61.53,181.38
144.25,61.03,179.58
135.8,60.36,176.67
137.75,60.46,176.8
138.64,60.31,178.15
146.5,59.93,189.28
135.6,57.77,181.98
133.8,58.61,183.32
138.55,59.25,183.88
138.1,57.55,182.26
145.24,57.02,182.63
144.85,58.08,183.72
139.06,56.96,175.45
144.01,56.23,176.51
150.68,56.15,177.03
149.11,55.03,175.63
158.37,54.84,180.56
161.91,55.76,183.74
154.81,54.67,175.74
157.8,55.54,180.71
149.92,55.3,180.94
152.52,54.6,181.4
155.41,53.25,185
155.02,53.63,186.32
151.34,56.76,183.54
152.45,57,181.81
146.49,57.27,168.51
147.89,56.82,164.94
146.01,56.76,164.42
139.87,57.77,159.8
148.92,57.44,166.74
150.16,57,165.85
136.34,57.07,163.03
137.5,57.12,156.11
130.53,57.65,138.48
127.63,57.62,135.23
125.23,56.1,134.81
120.23,55.97,133.04
121.16,56.24,133.69
122.28,56.18,131.2
122.93,55.81,131.94
122.36,55.14,131.93
119.82,55.11,131.62
119.33,55.69,133.05
116.39,56.2,132.16
116.33,55.74,132.5
116.43,55.19,130.12
112.12,55.25,130.2
111.99,55.65,128.66
109.16,54.62,125.04
105.04,54.28,122.95
104.68,54.93,124.94
105.06,55.08,126.55
106.45,55.02,127.84
103.64,53.94,128.06
101.81,54.69,127.53
100.34,54.23,126.68
102.45,55.14,128.71
102.9,54.43,128.98
100.35,55.48,129.28
101.52,55.52,129.9
108.16,56.22,133.48
105.8,56.73,133.88
106.15,56.69,133.91
104.38,55.52,133.01
102.82,55.26,131.75
101.55,55.89,132.76
103.88,56.85,133.6
106.22,57.33,138.4
105.6,57.56,138.24
105.73,57.87,141.14
104.8,58.1,143.41
105.2,57.89,142.68
106.15,58.6,141.58
106.17,58.68,142.52
109.15,58.88,143.75
109.92,59.42,144.63
109.2,59.53,145.12
109.99,59.04,146.45
110.72,59.02,146.69
111.32,59.13,145.94
111.4,59.02,144.85
107.27,59.2,142.38
108.3,59.35,143.87
107.65,59.32,144.46
108.77,58.54,144.14
104.65,58.22,142.09
103.7,57.27,140.61
103.44,55.15,142.18
107.56,56.01,144.41
107.48,56.28,148.13
110.55,56.47,148.64
106.5,56.39,147.15
107.68,55.86,146.68
106.48,55.61,145.87
107.58,55.47,146.92
110.11,55.59,146.28
112.35,55.76,146.83
118.77,55.69,148.22
112.56,56.25,147.95
108.63,55.45,148.86
106.19,55.37,149.8
102.95,55.07,150.99
97.93,54.77,142.44
91.03,55.28,140.93
91.82,55.47,143.5
92.15,55.23,144.88
91.21,54.54,142.44
89.41,53.88,142.17
87.11,53.58,139.55
86.58,53.06,138.79
85.89,53.7,139.71
86.93,53.65,141.46
89.05,54.09,143.75
90.26,53.32,141.18
90.81,53.23,142.47
90.9,53.74,141.43
89.74,53.26,138.29
90.54,53.26,139.97
94.47,52.98,141.19
94.7,53.54,142.58
93.31,53.44,140.8
93.93,53,142.93
89.52,52.91,142.62
87.08,52.96,139.72
85.62,53.06,137.65
